Date,BEP,BP,COP,CVX,EOG,FSLR,ICLN,NEE,PLUG,QCLN,SHEL,SLB,SPY,TAN,TTE,XOM,ENPH
2025-02-12,0,2,1,2,1,2,2,0,0,0,2,0,2,2,2,1,2.0
2025-03-14,2,2,1,2,1,0,2,0,0,0,2,0,0,2,2,2,0.0
2025-04-14,0,1,0,2,0,1,2,2,1,1,0,0,2,1,2,0,1.0
2025-05-14,2,2,2,2,2,1,2,1,1,0,2,2,2,0,2,2,0.0
2025-06-13,2,2,2,2,2,0,1,0,1,1,2,2,2,2,2,2,0.0
2025-07-16,0,2,2,1,2,0,0,1,0,0,2,2,1,2,2,2,2.0
2025-08-14,2,1,2,2,1,2,2,2,1,0,2,1,2,2,2,2,0.0
2025-09-15,1,1,2,1,0,2,2,2,0,1,2,2,2,2,2,0,1.0
2025-10-14,2,0,2,2,2,0,0,0,1,1,2,0,2,2,2,0,1.0
2025-11-12,1,0,2,2,2,0,1,1,1,1,2,2,2,1,0,2,0.0
2025-12-12,1,1,1,2,0,1,2,2,0,0,2,1,2,2,2,2,0.0
